month,n_trades,total_r,avg_r,win_rate
2022-03,5,-2.1495684239841495,-0.4299136847968299,0.2
2022-04,1,-1.0556500000000002,-1.0556500000000002,0.0
2022-06,3,-2.121572322775265,-0.7071907742584217,0.0
2022-07,6,2.888809225659922,0.48146820427665366,0.5
2022-08,1,-1.0052466960352422,-1.0052466960352422,0.0
2022-09,7,1.8827040601166782,0.2689577228738112,0.42857142857142855
2022-10,5,-2.2424495046620097,-0.44848990093240193,0.2
2022-11,4,1.8905053749476328,0.4726263437369082,0.5
2022-12,1,-1.0133317073170731,-1.0133317073170731,0.0
2023-01,2,0.928344995436567,0.4641724977182835,0.5
2023-02,2,0.9541390120967741,0.47706950604838705,0.5
2023-03,7,-1.0992980645473402,-0.15704258064962004,0.2857142857142857
2023-04,4,-4.104860585515684,-1.026215146378921,0.0
2023-05,5,2.006877305322708,0.4013754610645416,0.6
2023-06,4,-4.061814931807323,-1.0154537329518307,0.0
2023-07,4,-3.425478532867637,-0.8563696332169093,0.0
2023-09,2,0.9164915714285604,0.4582457857142802,0.5
2023-10,4,-1.07178534965035,-0.2679463374125875,0.25
2023-11,4,3.381252303610385,0.8453130759025963,0.75
2023-12,2,0.9589675591531759,0.47948377957658794,0.5
2024-01,2,-2.0820999999999996,-1.0410499999999998,0.0
2024-02,7,-4.228515766898765,-0.6040736809855378,0.14285714285714285
2024-03,1,-1.029164615384615,-1.029164615384615,0.0
2024-04,2,-2.1270026315789465,-1.0635013157894733,0.0
2024-06,1,-1.0184444444444445,-1.0184444444444445,0.0
2024-07,10,7.753852709497688,0.7753852709497688,0.6
2024-08,2,-2.031508678670727,-1.0157543393353634,0.0
2024-09,5,-2.292432551857816,-0.45848651037156324,0.2
2024-10,2,-2.156277499999997,-1.0781387499999986,0.0
2024-11,15,8.764629930103357,0.5843086620068905,0.5333333333333333
2024-12,5,0.9303879441422718,0.18607758882845435,0.4
2025-01,7,1.8728632742716733,0.26755189632452475,0.42857142857142855
2025-02,1,0.5392808250572966,0.5392808250572966,1.0
2025-03,2,-2.0304890230520174,-1.0152445115260087,0.0
2025-04,3,-1.9608243063111477,-0.6536081021037159,0.3333333333333333
2025-05,1,1.9881258561643835,1.9881258561643835,1.0
2025-06,5,3.9511362153456924,0.7902272430691385,0.6
2025-07,13,4.706860100050535,0.36206616154234883,0.46153846153846156
2025-08,4,2.43996897425403,0.6099922435635075,0.5
2025-09,5,-2.1471764328639518,-0.42943528657279034,0.2
2025-10,5,-2.3209780777205626,-0.46419561554411254,0.2
2025-11,3,1.1975741672762514,0.3991913890920838,0.6666666666666666
2025-12,2,0.8731346623496765,0.43656733117483826,0.5
2026-01,3,2.5019396544134214,0.8339798848044738,0.6666666666666666
2026-02,3,-0.04698584145916085,-0.015661947153053617,0.3333333333333333
