symbol,tp_r,entry_ts_utc,exit_ts_utc,entry_idx_4h,side,entry_price,stop_init,risk,tp_price,mfe1,lock1,mfe2,lock2,mfe3,lock3,rsi_l,rsi_h,sl_n,entry_tp_r,fee_bps,baseline_r,managed_r,managed_reason,hold_5m_bars
BTCUSDT,12.0,2022-01-05T20:00:00+00:00,2022-01-06T00:00:00+00:00,10,1,44671.93,44128.22,543.7099999999991,51196.44999999999,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.024648395284251,-1.024648395284251,SL,1
BTCUSDT,12.0,2022-01-21T04:00:00+00:00,2022-01-21T11:30:00+00:00,102,1,38447.92,38200.0,247.91999999999825,41422.95999999998,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.0465245885769607,0.7534754114230277,BE,43
BTCUSDT,12.0,2022-01-24T08:00:00+00:00,2022-01-24T12:00:00+00:00,121,1,34875.54,34687.13,188.4100000000035,37136.46000000004,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.0555313518390734,-1.0555313518390734,SL,1
BTCUSDT,12.0,2022-02-04T16:00:00+00:00,2022-02-04T20:00:00+00:00,189,-1,39481.72,39863.27,381.54999999999563,34903.12000000005,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.0310431555497317,-1.0310431555497317,SL,1
BTCUSDT,12.0,2022-02-10T08:00:00+00:00,2022-02-10T12:00:00+00:00,223,-1,44066.19,44826.0,759.8099999999977,34948.47000000003,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.0173988984088127,-1.0173988984088127,SL,1
BTCUSDT,12.0,2022-02-15T12:00:00+00:00,2022-02-15T17:35:00+00:00,254,-1,44214.3,44442.3,228.0,41478.3,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.0581767105263158,0.7418232894736906,BE,20
BTCUSDT,12.0,2022-02-16T00:00:00+00:00,2022-02-16T20:05:00+00:00,257,-1,44529.7,44777.0,247.3000000000029,41562.09999999996,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,11.945980954306512,0.7459809543065169,BE,194
BTCUSDT,12.0,2022-02-18T12:00:00+00:00,2022-02-18T16:00:00+00:00,272,1,40167.2,40073.1,94.09999999999854,41296.39999999998,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.1280569606801294,-1.1280569606801294,SL,1
BTCUSDT,12.0,2022-02-20T08:00:00+00:00,2022-02-20T12:00:00+00:00,283,1,38770.3,38553.5,216.8000000000029,41371.90000000004,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.0536489391143904,-1.0536489391143904,SL,1
BTCUSDT,12.0,2022-02-21T12:00:00+00:00,2022-02-21T16:25:00+00:00,290,1,37550.0,37314.5,235.5,40376.0,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.0478343949044586,5.452165605095542,BE,6
BTCUSDT,12.0,2022-02-22T00:00:00+00:00,2022-02-22T04:00:00+00:00,293,1,36986.4,36762.0,224.40000000000146,39679.20000000002,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.0494470588235292,-1.0494470588235292,SL,1
BTCUSDT,12.0,2022-02-24T04:00:00+00:00,2022-02-24T10:20:00+00:00,306,1,34907.8,34673.1,234.70000000000437,37724.200000000055,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,11.955379889220282,0.7553798892202759,BE,29
BTCUSDT,12.0,2022-02-28T20:00:00+00:00,2022-03-01T00:00:00+00:00,334,-1,41306.5,41489.0,182.5,39116.5,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.067901095890411,-1.067901095890411,SL,1
BTCUSDT,12.0,2022-03-06T12:00:00+00:00,2022-03-06T19:45:00+00:00,368,1,38329.1,38056.0,273.09999999999854,41606.29999999998,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.042104467228122,0.7578955327718676,BE,46
BTCUSDT,12.0,2022-03-07T04:00:00+00:00,2022-03-07T08:50:00+00:00,372,1,37848.9,37529.9,319.0,41676.9,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.0355945768025079,0.764405423197483,BE,11
BTCUSDT,12.0,2022-03-09T08:00:00+00:00,2022-03-09T12:00:00+00:00,385,-1,41770.6,41893.5,122.90000000000146,40295.79999999998,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.101962408462163,-1.101962408462163,SL,1
BTCUSDT,12.0,2022-03-17T00:00:00+00:00,2022-03-17T05:00:00+00:00,431,-1,41105.9,41473.6,367.6999999999971,36693.50000000004,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.033537584987762,-1.033537584987762,SL,13
BTCUSDT,12.0,2022-03-18T20:00:00+00:00,2022-03-19T00:40:00+00:00,442,-1,42020.3,42091.8,71.5,41162.3,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.176308951048951,0.6236910489510082,BE,9
BTCUSDT,12.0,2022-03-22T04:00:00+00:00,2022-03-22T08:40:00+00:00,462,-1,42230.0,42500.0,270.0,38990.0,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.0469222222222223,-1.0469222222222223,SL,9
BTCUSDT,12.0,2022-03-23T16:00:00+00:00,2022-03-23T22:30:00+00:00,471,-1,42588.7,42724.0,135.3000000000029,40965.09999999996,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.094431707317071,0.7055682926829503,BE,31
BTCUSDT,12.0,2022-03-24T00:00:00+00:00,2022-03-24T06:15:00+00:00,473,-1,42867.8,43051.0,183.1999999999971,40669.40000000004,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.0701983624454159,-1.0701983624454159,SL,28
BTCUSDT,12.0,2022-03-24T08:00:00+00:00,2022-03-24T13:35:00+00:00,475,-1,43060.9,43500.0,439.09999999999854,37791.70000000002,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.029419881575951,0.7705801184240492,BE,20
BTCUSDT,12.0,2022-04-06T20:00:00+00:00,2022-04-07T00:10:00+00:00,556,1,43751.2,43100.0,651.1999999999971,51565.59999999996,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.020155651105651,-1.020155651105651,SL,3
BTCUSDT,12.0,2022-04-07T16:00:00+00:00,2022-04-07T23:40:00+00:00,561,1,43305.0,42996.0,309.0,47013.0,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.0420436893203884,0.7579563106796022,BE,45
BTCUSDT,12.0,2022-04-08T20:00:00+00:00,2022-04-09T00:00:00+00:00,568,1,42722.0,42298.2,423.8000000000029,47807.600000000035,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.0302420953279847,-1.0302420953279847,SL,1
BTCUSDT,12.0,2022-04-11T12:00:00+00:00,2022-04-11T16:00:00+00:00,584,1,41055.1,40933.6,121.5,42513.1,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.1013706172839506,-1.1013706172839506,SL,1
BTCUSDT,12.0,2022-04-13T12:00:00+00:00,2022-04-13T16:00:00+00:00,596,1,39697.6,39569.8,127.79999999999563,41231.199999999946,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,11.906813145539903,11.906813145539903,TP,1
BTCUSDT,12.0,2022-04-18T08:00:00+00:00,2022-04-18T12:40:00+00:00,625,1,38902.2,38465.7,436.5,44140.2,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.026736907216495,0.7732630927834986,BE,9
BTCUSDT,12.0,2022-04-20T12:00:00+00:00,2022-04-20T18:40:00+00:00,638,-1,42070.7,42166.8,96.10000000000582,40917.49999999993,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,11.868665868886584,11.868665868886584,TP,33
BTCUSDT,12.0,2022-04-21T12:00:00+00:00,2022-04-24T16:50:00+00:00,644,-1,42418.0,42700.0,282.0,39034.0,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,11.954874468085107,11.954874468085107,TP,875
BTCUSDT,12.0,2022-04-25T08:00:00+00:00,2022-04-25T13:05:00+00:00,667,1,38437.2,38111.0,326.1999999999971,42351.59999999996,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.0353499693439612,0.7646500306560434,BE,14
BTCUSDT,12.0,2022-05-04T20:00:00+00:00,2022-05-05T00:20:00+00:00,724,-1,39855.2,40071.7,216.5,37257.2,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,11.944773394919169,0.7447733949191552,BE,5
BTCUSDT,12.0,2022-05-05T20:00:00+00:00,2022-05-06T13:35:00+00:00,730,1,36281.3,35388.0,893.3000000000029,47000.90000000004,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.0121844733012426,-1.0121844733012426,SL,164
BTCUSDT,12.0,2022-05-08T00:00:00+00:00,2022-05-08T04:00:00+00:00,743,1,35466.7,34700.0,766.6999999999971,44667.09999999996,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.0138776705360637,-1.0138776705360637,SL,1
BTCUSDT,12.0,2022-05-11T16:00:00+00:00,2022-05-11T20:15:00+00:00,765,1,30971.4,29000.0,1971.4000000000015,54628.20000000002,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.0047131074363396,-1.0047131074363396,SL,4
BTCUSDT,12.0,2022-05-30T04:00:00+00:00,2022-05-30T08:00:00+00:00,876,-1,30345.6,30448.0,102.40000000000146,29116.79999999998,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.0889031249999988,-1.0889031249999988,SL,1
BTCUSDT,12.0,2022-06-06T04:00:00+00:00,2022-06-06T08:00:00+00:00,918,-1,31235.0,31292.0,57.0,30551.0,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.1643947368421053,-1.1643947368421053,SL,1
BTCUSDT,12.0,2022-06-12T04:00:00+00:00,2022-06-12T13:50:00+00:00,954,1,27538.2,27244.9,293.2999999999993,31057.799999999992,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.0281672690078418,-1.0281672690078418,SL,71
BTCUSDT,12.0,2022-06-12T20:00:00+00:00,2022-06-13T00:00:00+00:00,958,1,27410.0,26850.0,560.0,34130.0,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.0146839285714286,-1.0146839285714286,SL,1
BTCUSDT,12.0,2022-06-16T08:00:00+00:00,2022-06-16T12:00:00+00:00,979,1,21748.9,21428.8,320.1000000000022,25590.100000000028,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.0203832239925021,-1.0203832239925021,SL,1
BTCUSDT,12.0,2022-06-30T08:00:00+00:00,2022-06-30T12:00:00+00:00,1063,1,19423.1,19300.0,123.09999999999854,20900.29999999998,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.0473349309504474,-1.0473349309504474,SL,1
BTCUSDT,12.0,2022-07-07T16:00:00+00:00,2022-07-07T20:00:00+00:00,1107,-1,20882.0,21050.0,168.0,18866.0,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.0372892857142857,-1.0372892857142857,SL,1
BTCUSDT,12.0,2022-07-12T20:00:00+00:00,2022-07-13T02:10:00+00:00,1138,1,19383.7,19252.5,131.20000000000073,20958.10000000001,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.0443224847560972,0.7556775152438916,BE,27
BTCUSDT,12.0,2022-07-17T04:00:00+00:00,2022-07-17T16:35:00+00:00,1164,-1,21314.1,21580.0,265.90000000000146,18123.29999999998,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.0240474990597968,0.7759525009402033,BE,104
BTCUSDT,12.0,2022-07-18T08:00:00+00:00,2022-07-18T12:35:00+00:00,1171,-1,22243.3,22401.4,158.10000000000218,20346.099999999973,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.042207400379506,0.7577925996205032,BE,8
BTCUSDT,12.0,2022-07-19T00:00:00+00:00,2022-07-19T06:25:00+00:00,1175,-1,22423.5,22800.0,376.5,17905.5,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.0178673306772907,0.7821326693227111,BE,30
BTCUSDT,12.0,2022-07-19T16:00:00+00:00,2022-07-19T20:00:00+00:00,1179,-1,23117.1,23200.0,82.90000000000146,22122.29999999998,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.0836565741857644,-1.0836565741857644,SL,1
BTCUSDT,12.0,2022-07-22T12:00:00+00:00,2022-07-22T16:00:00+00:00,1196,-1,23600.7,23623.6,22.899999999997817,23325.900000000027,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,11.690820524017438,11.690820524017438,TP,1
BTCUSDT,12.0,2022-07-26T16:00:00+00:00,2022-07-26T21:20:00+00:00,1221,1,20737.6,20689.6,48.0,21313.6,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,11.87039,5.37039,BE,17
BTCUSDT,12.0,2022-07-28T04:00:00+00:00,2022-07-28T12:35:00+00:00,1230,-1,23126.8,23480.0,353.2000000000007,18888.39999999999,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.019643374858437,0.7803566251415649,BE,56
BTCUSDT,12.0,2022-08-08T08:00:00+00:00,2022-08-08T12:00:00+00:00,1297,-1,23796.8,23848.0,51.20000000000073,23182.39999999999,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.139434374999998,-1.139434374999998,SL,1
BTCUSDT,12.0,2022-08-11T04:00:00+00:00,2022-08-11T08:30:00+00:00,1314,-1,24313.6,24480.7,167.10000000000218,22308.399999999972,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.0436509874326745,-1.0436509874326745,SL,7
BTCUSDT,12.0,2022-08-13T04:00:00+00:00,2022-08-13T08:00:00+00:00,1326,-1,24786.5,24800.0,13.5,24624.5,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,11.449188888888889,11.449188888888889,TP,1
BTCUSDT,12.0,2022-08-14T08:00:00+00:00,2022-08-15T02:05:00+00:00,1333,-1,24867.2,25065.0,197.79999999999927,22493.60000000001,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.03771567239636,0.7622843276036325,BE,170
BTCUSDT,12.0,2022-08-19T04:00:00+00:00,2022-08-19T08:00:00+00:00,1362,1,22759.0,22702.0,57.0,23443.0,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.1197842105263158,-1.1197842105263158,SL,1
BTCUSDT,12.0,2022-08-22T08:00:00+00:00,2022-08-22T13:30:00+00:00,1381,1,21089.2,21038.6,50.60000000000218,21696.400000000027,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.1250347826086902,0.6749652173913385,BE,19
BTCUSDT,12.0,2022-08-26T20:00:00+00:00,2022-08-27T00:00:00+00:00,1408,1,20635.5,20518.0,117.5,22045.5,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.0526863829787234,-1.0526863829787234,SL,1
BTCUSDT,12.0,2022-09-06T20:00:00+00:00,2022-09-07T00:20:00+00:00,1474,1,18813.1,18700.0,113.09999999999854,20170.29999999998,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.0499021220159157,-1.0499021220159157,SL,5
BTCUSDT,12.0,2022-09-09T08:00:00+00:00,2022-09-09T12:00:00+00:00,1489,-1,20623.6,20804.9,181.3000000000029,18447.999999999964,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.0341261996690563,-1.0341261996690563,SL,1
BTCUSDT,12.0,2022-09-19T04:00:00+00:00,2022-09-19T08:00:00+00:00,1548,1,18766.2,18655.0,111.20000000000073,20100.60000000001,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.0506282374100717,-1.0506282374100717,SL,1
BTCUSDT,12.0,2022-09-27T04:00:00+00:00,2022-09-27T11:40:00+00:00,1596,-1,20092.0,20296.1,204.09999999999854,17642.800000000017,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.0295325820676142,-1.0295325820676142,SL,45
BTCUSDT,12.0,2022-10-04T08:00:00+00:00,2022-10-04T12:05:00+00:00,1639,-1,19957.0,19969.5,12.5,19807.0,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.478968,0.32103200000000004,BE,2
BTCUSDT,12.0,2022-10-05T20:00:00+00:00,2022-10-06T00:45:00+00:00,1648,-1,20112.5,20350.0,237.5,17262.5,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.0254052631578947,-1.0254052631578947,SL,10
BTCUSDT,12.0,2022-10-11T04:00:00+00:00,2022-10-11T13:00:00+00:00,1680,1,19039.6,18935.7,103.89999999999782,20286.399999999972,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.054974783445622,0.7450252165543851,BE,61
BTCUSDT,12.0,2022-10-11T20:00:00+00:00,2022-10-12T05:55:00+00:00,1684,1,18991.3,18850.0,141.29999999999927,20686.89999999999,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.0403212314225054,0.7596787685775047,BE,72
BTCUSDT,12.0,2022-10-13T12:00:00+00:00,2022-10-13T16:15:00+00:00,1694,1,18745.0,18550.0,195.0,21085.0,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,11.971161538461539,0.7711615384615385,BE,4
BTCUSDT,12.0,2022-10-14T04:00:00+00:00,2022-10-14T10:05:00+00:00,1698,-1,19806.2,19947.9,141.70000000000073,18105.799999999992,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.0419326746647846,0.7580673253352155,BE,26
BTCUSDT,12.0,2022-10-18T08:00:00+00:00,2022-10-18T12:50:00+00:00,1723,-1,19655.8,19706.4,50.60000000000218,19048.599999999973,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,11.883463636363642,0.6834636363636702,BE,11
BTCUSDT,12.0,2022-10-23T20:00:00+00:00,2022-10-24T00:00:00+00:00,1756,-1,19492.3,19527.0,34.70000000000073,19075.89999999999,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.1685213256484115,-1.1685213256484115,SL,1
BTCUSDT,12.0,2022-10-25T16:00:00+00:00,2022-10-25T20:00:00+00:00,1767,-1,19740.3,19799.9,59.60000000000218,19025.099999999973,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.099363926174493,-1.099363926174493,SL,1
BTCUSDT,12.0,2022-10-28T16:00:00+00:00,2022-10-28T20:00:00+00:00,1785,-1,20473.2,20585.0,111.79999999999927,19131.60000000001,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.0549370304114494,-1.0549370304114494,SL,1
BTCUSDT,12.0,2022-11-04T16:00:00+00:00,2022-11-05T00:40:00+00:00,1827,-1,20829.2,21297.0,467.7999999999993,15215.60000000001,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.0133577597263788,-1.0133577597263788,SL,57
BTCUSDT,12.0,2022-11-08T08:00:00+00:00,2022-11-08T14:40:00+00:00,1849,1,19785.6,19335.0,450.59999999999854,25192.79999999998,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.0131728362183756,-1.0131728362183756,SL,33
BTCUSDT,12.0,2022-11-14T00:00:00+00:00,2022-11-14T04:00:00+00:00,1883,1,16321.3,16210.3,111.0,17653.3,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.0441116216216215,-1.0441116216216215,SL,1
BTCUSDT,12.0,2022-11-21T08:00:00+00:00,2022-11-21T13:45:00+00:00,1927,1,16032.1,15888.0,144.10000000000036,17761.300000000003,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.0333770298403886,0.766622970159614,BE,22
BTCUSDT,12.0,2022-11-21T20:00:00+00:00,2022-11-22T01:25:00+00:00,1930,1,15712.8,15555.0,157.79999999999927,17606.39999999999,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,11.970127756653993,0.7701277566539946,BE,18
BTCUSDT,12.0,2022-11-30T04:00:00+00:00,2022-11-30T19:15:00+00:00,1980,-1,16836.8,17082.2,245.40000000000146,13891.999999999982,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.0205828850855745,-1.0205828850855745,SL,136
BTCUSDT,12.0,2022-12-02T00:00:00+00:00,2022-12-05T04:55:00+00:00,1991,-1,16970.5,17348.5,378.0,12434.5,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.0134686507936508,-1.0134686507936508,SL,876
BTCUSDT,12.0,2022-12-08T20:00:00+00:00,2022-12-09T00:30:00+00:00,2032,-1,17241.9,17294.9,53.0,16605.9,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.0975956603773585,0.702404339622669,BE,7
BTCUSDT,12.0,2022-12-13T12:00:00+00:00,2022-12-13T16:00:00+00:00,2060,-1,17436.9,17512.9,76.0,16524.9,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.0688298684210527,-1.0688298684210527,SL,1
BTCUSDT,12.0,2022-12-17T00:00:00+00:00,2022-12-17T05:30:00+00:00,2081,1,16624.1,16521.1,103.0,17860.1,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.0484197087378642,0.7515802912621501,BE,19
BTCUSDT,12.0,2022-12-19T20:00:00+00:00,2022-12-20T00:00:00+00:00,2098,1,16549.3,16511.9,37.39999999999782,16998.099999999973,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.1327483957219329,-1.1327483957219329,SL,1
BTCUSDT,12.0,2022-12-30T08:00:00+00:00,2022-12-30T14:45:00+00:00,2161,1,16467.6,16410.0,57.599999999998545,17158.79999999998,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.0857687500000022,-1.0857687500000022,SL,34
BTCUSDT,12.0,2023-01-04T04:00:00+00:00,2023-01-04T08:10:00+00:00,2190,-1,16855.9,16870.0,14.099999999998545,16686.70000000002,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.358636170212803,-1.358636170212803,SL,3
BTCUSDT,12.0,2023-01-05T20:00:00+00:00,2023-01-06T00:30:00+00:00,2200,-1,16856.3,16872.8,16.5,16658.3,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.3064781818181816,0.49352181818186236,BE,7
BTCUSDT,12.0,2023-01-06T20:00:00+00:00,2023-01-07T00:55:00+00:00,2206,-1,16932.7,16960.0,27.299999999999272,16605.10000000001,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.1860736263736313,-1.1860736263736313,SL,12
BTCUSDT,12.0,2023-01-08T16:00:00+00:00,2023-01-08T20:35:00+00:00,2217,-1,16990.9,17015.6,24.69999999999709,16694.500000000036,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.206367206477757,0.5936327935222724,BE,8
BTCUSDT,12.0,2023-01-09T00:00:00+00:00,2023-01-09T04:00:00+00:00,2219,-1,17124.6,17181.1,56.5,16446.6,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.0909270796460178,-1.0909270796460178,SL,1
BTCUSDT,12.0,2023-01-19T20:00:00+00:00,2023-01-20T00:20:00+00:00,2284,-1,21090.1,21140.0,49.900000000001455,20491.29999999998,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.1267941883767498,0.6732058116232649,BE,5
BTCUSDT,12.0,2023-01-20T16:00:00+00:00,2023-01-20T20:00:00+00:00,2289,-1,21139.7,21250.0,110.29999999999927,19816.10000000001,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.0574969174977338,-1.0574969174977338,SL,1
BTCUSDT,12.0,2023-01-26T00:00:00+00:00,2023-01-29T19:20:00+00:00,2321,-1,23060.6,23837.4,776.8000000000029,13738.999999999964,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.0089059989701339,-1.0089059989701339,SL,1049
BTCUSDT,12.0,2023-02-02T00:00:00+00:00,2023-02-02T04:00:00+00:00,2363,-1,23730.1,23852.4,122.30000000000291,22262.499999999964,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.0582095666394098,-1.0582095666394098,SL,1
BTCUSDT,12.0,2023-02-09T20:00:00+00:00,2023-02-10T00:00:00+00:00,2410,1,22027.3,21862.1,165.20000000000073,24009.700000000008,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.040001150121065,-1.040001150121065,SL,1
BTCUSDT,12.0,2023-02-15T16:00:00+00:00,2023-02-15T20:00:00+00:00,2445,-1,22798.0,22924.9,126.90000000000146,21275.199999999983,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.0538959810874697,-1.0538959810874697,SL,1
BTCUSDT,12.0,2023-02-17T16:00:00+00:00,2023-02-17T20:00:00+00:00,2457,-1,24131.3,24293.6,162.29999999999927,22183.700000000008,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.044604990757856,-1.044604990757856,SL,1
BTCUSDT,12.0,2023-02-20T12:00:00+00:00,2023-02-20T16:25:00+00:00,2474,-1,24896.0,24990.0,94.0,23768.0,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.0794553191489362,0.7205446808510716,BE,6
BTCUSDT,12.0,2023-03-03T04:00:00+00:00,2023-03-08T05:40:00+00:00,2538,1,22306.4,21883.2,423.2000000000007,27384.80000000001,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.0158126654064272,-1.0158126654064272,SL,1413
BTCUSDT,12.0,2023-03-08T08:00:00+00:00,2023-03-08T15:15:00+00:00,2569,1,21962.2,21800.0,162.20000000000073,23908.60000000001,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.0406205918618987,0.7593794081381102,BE,40
BTCUSDT,12.0,2023-03-09T00:00:00+00:00,2023-03-09T10:45:00+00:00,2573,1,21695.3,21540.5,154.79999999999927,23552.89999999999,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.04204515503876,-1.04204515503876,SL,82
BTCUSDT,12.0,2023-03-13T00:00:00+00:00,2023-03-13T04:00:00+00:00,2597,-1,21986.2,22184.0,197.79999999999927,19612.60000000001,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.0333461071789687,-1.0333461071789687,SL,1
BTCUSDT,12.0,2023-03-13T16:00:00+00:00,2023-03-14T05:10:00+00:00,2601,-1,24009.0,24517.2,508.2000000000007,17910.59999999999,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.014172963400236,-1.014172963400236,SL,111
BTCUSDT,12.0,2023-03-21T12:00:00+00:00,2023-03-21T16:30:00+00:00,2648,-1,28026.1,28172.5,146.40000000000146,26269.29999999998,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.0574305327868847,-1.0574305327868847,SL,7
BTCUSDT,12.0,2023-03-23T16:00:00+00:00,2023-03-23T23:15:00+00:00,2661,-1,28574.6,28777.0,202.40000000000146,26145.79999999998,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.042353656126482,0.7576463438735217,BE,40
BTCUSDT,12.0,2023-03-29T16:00:00+00:00,2023-03-29T22:05:00+00:00,2697,-1,28426.4,28649.9,223.5,25744.4,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.0381562416107382,0.7618437583892584,BE,26
BTCUSDT,12.0,2023-03-30T04:00:00+00:00,2023-03-30T17:35:00+00:00,2700,-1,28470.4,29184.8,714.3999999999978,19897.600000000028,1.0,0.8,6.5,5.5,,,35,60,2,5.0,3.0,-1.0119556550951847,0.7880443449048131,BE,116
