audit_scope,symbol,tp_r,entry_ts_utc,exit_ts_utc,entry_price,stop_init,risk,baseline_r,managed_r,delta_r,managed_reason,hold_5m_bars
first_25_by_entry,BTCUSDT,8.0,2025-01-05T20:00:00+00:00,2025-01-05T20:15:00+00:00,98050.0,98297.3,247.3000000000029,-1.1189446016983406,-1.1189446016983406,0.0,SL,4
first_25_by_entry,BTCUSDT,8.0,2025-01-08T12:00:00+00:00,2025-01-08T14:30:00+00:00,95093.8,94480.7,613.1000000000058,-1.0465309737400093,0.6534690262599812,1.6999999999999904,BE,31
first_25_by_entry,BTCUSDT,8.0,2025-01-08T20:00:00+00:00,2025-01-09T13:35:00+00:00,94217.1,92500.0,1717.1000000000058,-1.016460969075767,-1.016460969075767,0.0,SL,212
first_25_by_entry,BTCUSDT,8.0,2025-01-13T12:00:00+00:00,2025-01-13T12:00:00+00:00,90827.5,90809.8,17.69999999999709,-2.539449152542626,-2.539449152542626,0.0,SL,1
first_25_by_entry,BTCUSDT,8.0,2025-01-15T20:00:00+00:00,2025-01-15T20:00:00+00:00,99807.4,100038.1,230.70000000001164,-1.1297885565669636,-1.1297885565669636,0.0,SL,1
first_25_by_entry,BTCUSDT,8.0,2025-01-17T08:00:00+00:00,2025-01-17T08:35:00+00:00,101406.9,102133.7,726.8000000000029,-1.0418575536598786,-1.0418575536598786,0.0,SL,8
first_25_by_entry,BTCUSDT,8.0,2025-01-18T16:00:00+00:00,2025-01-18T16:15:00+00:00,104517.1,104962.1,445.0,-1.070460966292135,0.6295390337078651,1.7000000000000002,BE,4
first_25_by_entry,BTCUSDT,8.0,2025-01-19T20:00:00+00:00,2025-01-19T20:00:00+00:00,106247.9,106259.8,11.900000000008731,-3.678518487392992,-3.678518487392992,0.0,SL,1
first_25_be_exits,BTCUSDT,8.0,2025-01-08T12:00:00+00:00,2025-01-08T14:30:00+00:00,95093.8,94480.7,613.1000000000058,-1.0465309737400093,0.6534690262599812,1.6999999999999904,BE,31
first_25_be_exits,BTCUSDT,8.0,2025-01-18T16:00:00+00:00,2025-01-18T16:15:00+00:00,104517.1,104962.1,445.0,-1.070460966292135,0.6295390337078651,1.7000000000000002,BE,4
